Estado,Data_Ini_Mov,Hora_Ini_Mov,Data_Fim_Mov,Hora_Fim_Mov,Tempo,Dist_Perc_(m),Vel_Máx,Ponto_Inicial,Ponto_Final,Motorista,Placa
Andando,06/06/2020,11:27:43,06/06/2020,11:28:43,1min,94,15 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,11:28:43,06/06/2020,11:31:43,3min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,11:31:43,06/06/2020,11:32:43,1min,61,7 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,11:32:43,06/06/2020,11:38:43,6min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,11:38:43,06/06/2020,11:40:43,2min,115,10 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,11:40:43,06/06/2020,11:41:43,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,11:41:43,06/06/2020,11:42:43,1min,123,39 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,11:42:43,06/06/2020,11:43:43,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,11:43:43,06/06/2020,11:47:44,4m-1s,985,26 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,11:47:44,06/06/2020,11:49:44,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,11:49:44,06/06/2020,11:55:44,6min,3104,60 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,11:55:44,06/06/2020,12:01:39,5m-55s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
